905,"池谷 ",4855
906,"中 ",4854
907,"倉本 ",4854
908,"八田 ",4837
909,"阪口 ",4814
910,"鶴岡 ",4810
911,"岩谷 ",4810
912,"畠中 ",4808
913,"野呂 ",4806
914,"渡邉 ",4787
915,"菅井 ",4784
916,"重松 ",4781
917,"大高 ",4778
918,"戸塚 ",4776
919,"古山 ",4771
920,"城戸 ",4769
921,"宇田川 ",4763
922,"田渕 ",4738
923,"井村 ",4738
924,"南部 ",4727
925,"田尻 ",4727
926,"石野 ",4726
927,"末吉 ",4711
928,"野島 ",4710
929,"田所 ",4709
930,"寺岡 ",4708
931,"恩田 ",4703
932,"川添 ",4700
933,"神戸 ",4678
934,"村木 ",4677
935,"日下部 ",4676
936,"石沢 ",4657
937,"米倉 ",4646
938,"笹原 ",4645
939,"平賀 ",4636
940,"森井 ",4629
941,"福地 ",4628
942,"菊田 ",4617
943,"丸田 ",4603
944,"若山 ",4599
945,"小口 ",4592
946,"湊 ",4585
947,"百瀬 ",4582
948,"重田 ",4580
949,"磯野 ",4578
950,"藤島 ",4570
951,"高嶋 ",4568
952,"増井 ",4560
953,"寺西 ",4551
954,"五味 ",4549
955,"新村 ",4530
956,"岡島 ",4527
957,"土谷 ",4525
958,"長友 ",4504
959,"紺野 ",4498
960,"小平 ",4493
961,"鬼頭 ",4491
962,"熊倉 ",4483
963,"秋本 ",4483
964,"猪股 ",4479
965,"深井 ",4465
966,"玉田 ",4461
967,"今川 ",4455
968,"小高 ",4455
969,"安永 ",4451
970,"中岡 ",4450
971,"照井 ",4441
972,"富沢 ",4439
973,"牧田 ",4437
974,"岩村 ",4434
975,"赤羽 ",4430
976,"濱田 ",4429
977,"長浜 ",4428
978,"有村 ",4412
979,"村中 ",4402
980,"寺井 ",4400
981,"境 ",4397
982,"松谷 ",4395
983,"西井 ",4390
984,"氏家 ",4386
985,"西森 ",4382
986,"河西 ",4379
987,"夏目 ",4374
988,"新保 ",4366
989,"神原 ",4348
990,"西浦 ",4346
991,"持田 ",4344
992,"松橋 ",4339
993,"冨永 ",4335
994,"福士 ",4335
995,"藤山 ",4335
996,"柿沼 ",4329
997,"長坂 ",4324
998,"長沼 ",4321
999,"浦 ",4319
1000,"品川 ",4319
1001,"伊達 ",4309
1002,"大関 ",4299
1003,"土肥 ",4295
1004,"宮里 ",4281
1005,"柳瀬 ",4278
1006,"辻村 ",4274
1007,"古市 ",4272
1008,"大越 ",4271
1009,"梶田 ",4267
1010,"相田 ",4266
1011,"寺崎 ",4263
1012,"石岡 ",4255
1013,"鵜飼 ",4246
1014,"吉澤 ",4223
1015,"広川 ",4222
1016,"安川 ",4210
1017,"河上 ",4210
1018,"野間 ",4200
1019,"古橋 ",4196
1020,"倉橋 ",4194
1021,"的場 ",4194
1022,"北岡 ",4191
1023,"川嶋 ",4188
1024,"磯崎 ",4179
1025,"大前 ",4173
1026,"平原 ",4171
1027,"滝田 ",4163
1028,"石村 ",4149
1029,"鹿野 ",4148
1030,"小村 ",4139
1031,"河崎 ",4137
1032,"伴 ",4123
1033,"鹿島 ",4121
1034,"寺内 ",4119
1035,"本郷 ",4113
